gn,fileId,ok,size,mean_db,note,src_sdm
sdom1697,11697,1,936412,-11.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1697.sdm
sdom1696,11696,1,1398878,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1696.sdm
sdom1707,11707,1,1046969,-10.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1707.sdm
sdom1701,11701,1,1146008,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1701.sdm
sdom1712,11712,1,1479876,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1712.sdm
sdom1713,11713,1,1100602,-11.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1713.sdm
sdom1714,11714,1,1372923,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1714.sdm
sdom1734,11734,1,7670700,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1734.sdm
sdom1744,11744,1,1118937,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1744.sdm
sdom1745,11745,1,1045351,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1745.sdm
sdom1747,11747,1,1160989,-13.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1747.sdm
sdom1748,11748,1,1010891,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1748.sdm
sdom1749,11749,1,988375,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1749.sdm
sdom1735,11735,1,5787755,-12.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1735.sdm
sdom1750,11750,1,9075119,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1750.sdm
sdom1751,11751,1,8284693,-11.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1751.sdm
sdom1754,11754,1,1523075,-9.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1754.sdm
sdom1755,11755,1,1261236,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1755.sdm
sdom1756,11756,1,1861845,-8.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1756.sdm
sdom1771,11771,1,2400869,-8.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1771.sdm
sdom1752,11752,1,6566764,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1752.sdm
sdom1753,11753,1,9841092,-10.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1753.sdm
sdom1774,11774,1,1404271,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1774.sdm
sdom1780,11780,1,1160961,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1780.sdm
sdom1781,11781,1,1222177,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1781.sdm
