gn,title,artist,src,bpm,fileId
sdom2180,虹Niji,BEAST,kgn,102,12180
sdom2181,walking on sunshine,樸寶英,kgn,109,12181
sdom2182,自由時代,樸寶英,kgn,130,12182
sdom2183,ミライボウル,Momoiro Clover,kgn,150,12183
sdom2184,我認識的人,SG Wanna Be,kgn,69,12184
sdom2185,Girl,金亨俊,kgn,128,12185
sdom2186,アンサイズニア,One Ok Rock,kgn,188,12186
sdom2187,劉佳 愛很美,sara,kgn,105,12187
sdom2188,ガチでいこうぜ!,白石稔,kgn,175,12188
sdom2189,dive to world,家庭教師第三季主題曲,kgn,147,12189
sdom2190,旅行,瀧&翼,kgn,124,12190
sdom2191,lonely,2 ne1,kgn,95,12191
sdom2192,Time Is,DNT,kgn,116,12192
sdom2193,danger,f x,kgn,118,12193
sdom2194,nu abo,f x,kgn,95,12194
sdom2195,hello hello,f.t、island,kgn,200,12195
sdom2196,Oh! Honey,Secret,kgn,130,12196
sdom2197,星光月光,Secret,kgn,130,12197
sdom2198,give me every thing,pitbull,kgn,129,12198
sdom2199,The Kinslayer,Nightwish,kgn,177.6,12199
sdom2200,克羅埃西亞狂想曲,Maksim Mrvica,kgn,96,12200
sdom2213,You&Me,田村ゆかり,kgn,160,12213
sdom2217,Bubble Pop!,金泫雅,kgn,146,12217
sdom2220,少女綺想曲 DreamBattle,東方,kgn,160,12220
sdom2221,拿去吧！水手服,幸運星,kgn,150,12221
sdom2222,Lion,中島愛&May'n,kgn,145,12222
sdom2223,コネクト,ClariS,kgn,175,12223
sdom2230,耀眼的你,Can,kgn,126,12230
sdom2241,it's alright,城市獵人,kgn,126,12241
sdom2242,Brand New Voice,花たん,kgn,141,12242
sdom2243,Figaro,Nine muses,kgn,118,12243
sdom2244,Be Starters!,喜多村英梨,kgn,168,12244
sdom2245,tok tok tok,super junior,kgn,147,12245
sdom2246,カワルミライ,ちょうちょ,kgn,167,12246
sdom2247,perfect man (永不言棄插曲),神話,kgn,108,12247
sdom2248,suddenly,金寶京,kgn,88,12248
sdom2249,青い栞,Galileo Galilei,kgn,132,12249
sdom2250,戦場に咲いた一輪の花,飛蘭,kgn,168,12250
sdom2251,桃源郷エイリアン,serial,kgn,170,12251
sdom2252,サムライハ ト(Some Like It Hot!!,SPYAIR,kgn,113,12252
sdom2253,Remember,EI,kgn,128,12253
sdom2254,Funny Bunny,ELLEGARDEN,kgn,130,12254
sdom2255,IN MY WORLD,ROOKiEZ is PUNK'D,kgn,190,12255
sdom2256,Bad Girl,少女時代,kgn,115,12256
sdom2257,對我來說她太漂亮了,金朝漢,kgn,65,12257
sdom2258,super junior,Mr. Simple,kgn,128,12258
sdom2259,太完美,superjunior m,kgn,106,12259
sdom2260,なないろ☆ナミダ,Tomato n' Pine,kgn,127,12260
sdom2261,letter_song,ヲタみんver,kgn,63,12261
sdom2262,Good Bye,米娜(Mina),kgn,120,12262
sdom2263,直到無法呼吸,BBAN,kgn,90,12263
sdom2264,風之旋律,IU,kgn,160,12264
sdom2265,White(被詛咒的旋律 OST),PinkDolls,kgn,138,12265
sdom2266,Hero,Simon D,kgn,110,12266
sdom2267,Demon,樸宰範,kgn,121,12267
sdom2268,Time Is,吳鍾赫,kgn,67,12268
sdom2269,戰,尚雯婕,kgn,74,12269
sdom2270,Red Sign,Kevin,kgn,150,12270
sdom2271,In Heaven,JYJ,kgn,76,12271
sdom2272,戀愛的三種技巧,殆死悲爱、申乾,kgn,109,12272
sdom2273,我愛你,SG Wanna be,kgn,79,12273
sdom2274,FATE,酷懶之味,kgn,110,12274
sdom2275,Log-in,T_ara,kgn,135,12275
sdom2276,電人、暁に斃れる。,L.E.D.-G,kgn,165,12276
sdom2277,BLOOD on FIRE,AAA,kgn,155,12277
sdom2278,My Spirit Will Go On,dragonforce,kgn,200,12278
sdom2279,Vortex,DJ,kgn,172,12279
sdom2288,客官 不可以,徐良 小凌,kgn,95,12288
sdom2289,你為我著迷,鄭容和（CNBLUE）,kgn,147,12289
sdom2290,ok na ka,Katreeya,kgn,135,12290
sdom2291,takeover,mizz nina,kgn,124,12291
